tx_id,date,type,amount,currency,fx_to_base,symbol,con_id
MOCKCASH-0001,2026-05-04,Deposits/Withdrawals,20000.0,GBP,1.0,,
MOCKCASH-0005,2026-05-25,Dividends,3.12,USD,0.775193,AAPL,265598
MOCKCASH-0006,2026-05-25,Withholding Tax,-0.47,USD,0.775193,AAPL,265598
MOCKCASH-0002,2026-06-01,Deposits/Withdrawals,5000.0,GBP,1.0,,
MOCKCASH-0025,2026-06-03,Broker Interest Received,11.61,GBP,1.0,,
MOCKCASH-0022,2026-06-05,Other Fees,-4.5,USD,0.778731,,
MOCKCASH-0009,2026-06-29,Dividends,2.1,USD,0.779857,GOOGL,208813719
MOCKCASH-0010,2026-06-29,Withholding Tax,-0.32,USD,0.779857,GOOGL,208813719
MOCKCASH-0013,2026-06-29,Dividends,18.75,GBP,1.0,HSBA,909083
MOCKCASH-0003,2026-07-01,Deposits/Withdrawals,5000.0,GBP,1.0,,
MOCKCASH-0011,2026-07-03,Dividends,1.58,USD,0.770653,META,107113386
MOCKCASH-0012,2026-07-03,Withholding Tax,-0.24,USD,0.770653,META,107113386
MOCKCASH-0026,2026-07-03,Broker Interest Received,7.3,GBP,1.0,,
MOCKCASH-0023,2026-07-07,Other Fees,-4.5,USD,0.775567,,
MOCKCASH-0014,2026-07-15,Dividends,90.0,HKD,0.100202,700,152791428
MOCKCASH-0018,2026-07-30,Dividends,0.5,USD,0.78544,SMSN,16520545
MOCKCASH-0019,2026-07-30,Withholding Tax,-0.07,USD,0.78544,SMSN,16520545
MOCKCASH-0004,2026-08-03,Deposits/Withdrawals,5000.0,GBP,1.0,,
MOCKCASH-0016,2026-08-04,Dividends,180.0,SGD,0.567774,C6L,92216536
MOCKCASH-0027,2026-08-05,Broker Interest Received,11.2,GBP,1.0,,
MOCKCASH-0017,2026-08-06,Dividends,48.0,SGD,0.57279,ES3,92214874
MOCKCASH-0024,2026-08-07,Other Fees,-4.5,USD,0.786823,,
MOCKCASH-0015,2026-08-14,Dividends,160.0,HKD,0.103177,3115,256718140
MOCKCASH-0020,2026-08-17,Dividends,48.0,EUR,0.895802,HY9H,517397504
MOCKCASH-0021,2026-08-17,Withholding Tax,-7.2,EUR,0.895802,HY9H,517397504
MOCKCASH-0007,2026-08-19,Dividends,3.9,USD,0.795675,AAPL,265598
MOCKCASH-0008,2026-08-19,Withholding Tax,-0.58,USD,0.795675,AAPL,265598
MOCKCASH-0028,2026-09-03,Broker Interest Received,20.23,GBP,1.0,,
