date,currency,rate
2026-05-04,EUR,0.85
2026-05-04,HKD,0.1
2026-05-04,SGD,0.58
2026-05-04,USD,0.78
2026-05-05,EUR,0.848307
2026-05-05,HKD,0.100156
2026-05-05,SGD,0.581846
2026-05-05,USD,0.778256
2026-05-06,EUR,0.846124
2026-05-06,HKD,0.100349
2026-05-06,SGD,0.583571
2026-05-06,USD,0.778171
2026-05-07,EUR,0.844938
2026-05-07,HKD,0.10021
2026-05-07,SGD,0.582523
2026-05-07,USD,0.776975
2026-05-08,EUR,0.848101
2026-05-08,HKD,0.100268
2026-05-08,SGD,0.582734
2026-05-08,USD,0.780874
2026-05-11,EUR,0.846635
2026-05-11,HKD,0.099993
2026-05-11,SGD,0.578918
2026-05-11,USD,0.777229
2026-05-12,EUR,0.845333
2026-05-12,HKD,0.100121
2026-05-12,SGD,0.581613
2026-05-12,USD,0.774599
2026-05-13,EUR,0.851011
2026-05-13,HKD,0.099987
2026-05-13,SGD,0.580882
2026-05-13,USD,0.779232
2026-05-14,EUR,0.852365
2026-05-14,HKD,0.099778
2026-05-14,SGD,0.579329
2026-05-14,USD,0.776285
2026-05-15,EUR,0.854359
2026-05-15,HKD,0.099555
2026-05-15,SGD,0.577266
2026-05-15,USD,0.775643
2026-05-18,EUR,0.85565
2026-05-18,HKD,0.099722
2026-05-18,SGD,0.578049
2026-05-18,USD,0.77861
2026-05-19,EUR,0.858953
2026-05-19,HKD,0.099522
2026-05-19,SGD,0.577009
2026-05-19,USD,0.78043
2026-05-20,EUR,0.853285
2026-05-20,HKD,0.099612
2026-05-20,SGD,0.576398
2026-05-20,USD,0.776544
2026-05-21,EUR,0.851893
2026-05-21,HKD,0.099539
2026-05-21,SGD,0.576207
2026-05-21,USD,0.776542
2026-05-22,EUR,0.852234
2026-05-22,HKD,0.099584
2026-05-22,SGD,0.575332
2026-05-22,USD,0.776602
2026-05-25,EUR,0.852008
2026-05-25,HKD,0.099758
2026-05-25,SGD,0.576905
2026-05-25,USD,0.775193
2026-05-26,EUR,0.85521
2026-05-26,HKD,0.100288
2026-05-26,SGD,0.57866
2026-05-26,USD,0.775359
2026-05-27,EUR,0.856026
2026-05-27,HKD,0.100301
2026-05-27,SGD,0.577892
2026-05-27,USD,0.779004
2026-05-28,EUR,0.854205
2026-05-28,HKD,0.100148
2026-05-28,SGD,0.578847
2026-05-28,USD,0.779218
2026-05-29,EUR,0.850029
2026-05-29,HKD,0.099823
2026-05-29,SGD,0.577609
2026-05-29,USD,0.776988
2026-06-01,EUR,0.849372
2026-06-01,HKD,0.099512
2026-06-01,SGD,0.580614
2026-06-01,USD,0.777875
2026-06-02,EUR,0.848112
2026-06-02,HKD,0.099305
2026-06-02,SGD,0.579004
2026-06-02,USD,0.77864
2026-06-03,EUR,0.846964
2026-06-03,HKD,0.099113
2026-06-03,SGD,0.577597
2026-06-03,USD,0.780834
2026-06-04,EUR,0.843994
2026-06-04,HKD,0.09934
2026-06-04,SGD,0.578055
2026-06-04,USD,0.780901
2026-06-05,EUR,0.842233
2026-06-05,HKD,0.099085
2026-06-05,SGD,0.575685
2026-06-05,USD,0.778731
2026-06-08,EUR,0.845061
2026-06-08,HKD,0.098903
2026-06-08,SGD,0.57305
2026-06-08,USD,0.778486
2026-06-09,EUR,0.844058
2026-06-09,HKD,0.098928
2026-06-09,SGD,0.571053
2026-06-09,USD,0.776291
2026-06-10,EUR,0.84066
2026-06-10,HKD,0.098939
2026-06-10,SGD,0.573518
2026-06-10,USD,0.779659
2026-06-11,EUR,0.838255
2026-06-11,HKD,0.098924
2026-06-11,SGD,0.571681
2026-06-11,USD,0.777509
2026-06-12,EUR,0.836946
2026-06-12,HKD,0.099032
2026-06-12,SGD,0.571658
2026-06-12,USD,0.77594
2026-06-15,EUR,0.838742
2026-06-15,HKD,0.099004
2026-06-15,SGD,0.571363
2026-06-15,USD,0.774494
2026-06-16,EUR,0.839868
2026-06-16,HKD,0.099055
2026-06-16,SGD,0.570107
2026-06-16,USD,0.775684
2026-06-17,EUR,0.839594
2026-06-17,HKD,0.099437
2026-06-17,SGD,0.570878
2026-06-17,USD,0.775361
2026-06-18,EUR,0.842428
2026-06-18,HKD,0.100081
2026-06-18,SGD,0.57014
2026-06-18,USD,0.774491
2026-06-19,EUR,0.842283
2026-06-19,HKD,0.100175
2026-06-19,SGD,0.570508
2026-06-19,USD,0.776588
2026-06-22,EUR,0.84417
2026-06-22,HKD,0.09995
2026-06-22,SGD,0.57067
2026-06-22,USD,0.779277
2026-06-23,EUR,0.845875
2026-06-23,HKD,0.09945
2026-06-23,SGD,0.570542
2026-06-23,USD,0.781836
2026-06-24,EUR,0.848585
2026-06-24,HKD,0.099555
2026-06-24,SGD,0.570595
2026-06-24,USD,0.784298
2026-06-25,EUR,0.852554
2026-06-25,HKD,0.099726
2026-06-25,SGD,0.569886
2026-06-25,USD,0.780591
2026-06-26,EUR,0.849879
2026-06-26,HKD,0.099266
2026-06-26,SGD,0.57047
2026-06-26,USD,0.778079
2026-06-29,EUR,0.848857
2026-06-29,HKD,0.09887
2026-06-29,SGD,0.568696
2026-06-29,USD,0.779857
2026-06-30,EUR,0.848158
2026-06-30,HKD,0.098874
2026-06-30,SGD,0.568654
2026-06-30,USD,0.778803
2026-07-01,EUR,0.848992
2026-07-01,HKD,0.098842
2026-07-01,SGD,0.569559
2026-07-01,USD,0.775034
2026-07-02,EUR,0.848465
2026-07-02,HKD,0.099255
2026-07-02,SGD,0.568813
2026-07-02,USD,0.771069
2026-07-03,EUR,0.852676
2026-07-03,HKD,0.09974
2026-07-03,SGD,0.568691
2026-07-03,USD,0.770653
2026-07-06,EUR,0.850804
2026-07-06,HKD,0.099641
2026-07-06,SGD,0.568932
2026-07-06,USD,0.772347
2026-07-07,EUR,0.853813
2026-07-07,HKD,0.09962
2026-07-07,SGD,0.57034
2026-07-07,USD,0.775567
2026-07-08,EUR,0.854603
2026-07-08,HKD,0.099086
2026-07-08,SGD,0.56909
2026-07-08,USD,0.774443
2026-07-09,EUR,0.857658
2026-07-09,HKD,0.099149
2026-07-09,SGD,0.568339
2026-07-09,USD,0.774829
2026-07-10,EUR,0.862869
2026-07-10,HKD,0.099654
2026-07-10,SGD,0.567725
2026-07-10,USD,0.775538
2026-07-13,EUR,0.862624
2026-07-13,HKD,0.099792
2026-07-13,SGD,0.567578
2026-07-13,USD,0.777937
2026-07-14,EUR,0.864189
2026-07-14,HKD,0.100285
2026-07-14,SGD,0.566785
2026-07-14,USD,0.77804
2026-07-15,EUR,0.865511
2026-07-15,HKD,0.100202
2026-07-15,SGD,0.567541
2026-07-15,USD,0.778527
2026-07-16,EUR,0.870858
2026-07-16,HKD,0.099991
2026-07-16,SGD,0.569164
2026-07-16,USD,0.779881
2026-07-17,EUR,0.873291
2026-07-17,HKD,0.100652
2026-07-17,SGD,0.5689
2026-07-17,USD,0.779715
2026-07-20,EUR,0.870036
2026-07-20,HKD,0.100559
2026-07-20,SGD,0.567979
2026-07-20,USD,0.776196
2026-07-21,EUR,0.866229
2026-07-21,HKD,0.100647
2026-07-21,SGD,0.569119
2026-07-21,USD,0.779274
2026-07-22,EUR,0.869916
2026-07-22,HKD,0.100595
2026-07-22,SGD,0.570077
2026-07-22,USD,0.778195
2026-07-23,EUR,0.870674
2026-07-23,HKD,0.100968
2026-07-23,SGD,0.569405
2026-07-23,USD,0.778255
2026-07-24,EUR,0.870289
2026-07-24,HKD,0.100763
2026-07-24,SGD,0.571861
2026-07-24,USD,0.779915
2026-07-27,EUR,0.870787
2026-07-27,HKD,0.100943
2026-07-27,SGD,0.571437
2026-07-27,USD,0.780977
2026-07-28,EUR,0.872183
2026-07-28,HKD,0.101211
2026-07-28,SGD,0.568736
2026-07-28,USD,0.785298
2026-07-29,EUR,0.87525
2026-07-29,HKD,0.101243
2026-07-29,SGD,0.568002
2026-07-29,USD,0.784396
2026-07-30,EUR,0.879424
2026-07-30,HKD,0.100738
2026-07-30,SGD,0.566398
2026-07-30,USD,0.78544
2026-07-31,EUR,0.877952
2026-07-31,HKD,0.100928
2026-07-31,SGD,0.568525
2026-07-31,USD,0.782547
2026-08-03,EUR,0.876436
2026-08-03,HKD,0.100997
2026-08-03,SGD,0.567321
2026-08-03,USD,0.783422
2026-08-04,EUR,0.875651
2026-08-04,HKD,0.101361
2026-08-04,SGD,0.567774
2026-08-04,USD,0.783304
2026-08-05,EUR,0.880585
