date,nav_gbp,cash_gbp,stock_gbp,accruals_gbp
2026-05-04,20000.0,20000.0,0.0,0.0
2026-05-05,19998.44,16221.49,3776.95,0.0
2026-05-06,20075.75,13078.46,6997.29,0.0
2026-05-07,20033.59,8961.62,11071.97,0.0
2026-05-08,20069.07,4507.65,15561.42,0.0
2026-05-11,20043.16,4507.65,15535.51,0.0
2026-05-12,20005.13,4507.65,15497.48,0.0
2026-05-13,20010.13,4507.65,15502.48,0.0
2026-05-14,19948.83,4507.65,15441.18,0.0
2026-05-15,19889.37,4507.65,15381.72,0.0
2026-05-18,19775.2,4507.65,15267.55,0.0
2026-05-19,19809.37,4507.65,15301.72,0.0
2026-05-20,19849.93,4507.65,15342.28,0.0
2026-05-21,19802.67,4507.65,15295.02,0.0
2026-05-22,19772.04,4507.65,15264.39,0.0
2026-05-25,19861.09,4509.7,15351.39,0.0
2026-05-26,19993.64,4509.7,15483.94,0.0
2026-05-27,20000.21,4509.7,15490.51,0.0
2026-05-28,19877.54,4509.7,15367.84,0.0
2026-05-29,19672.36,4509.7,15162.66,0.0
2026-06-01,24546.42,9509.7,15036.72,0.0
2026-06-02,24480.7,6730.43,17750.27,0.0
2026-06-03,24608.08,3171.67,21436.41,0.0
2026-06-04,24562.22,3171.67,21390.55,0.0
2026-06-05,24512.93,3168.17,21344.76,0.0
2026-06-08,24225.5,3168.17,21057.33,0.0
2026-06-09,24077.58,3168.17,20909.41,0.0
2026-06-10,24169.87,3168.17,21001.7,0.0
2026-06-11,24155.05,3168.17,20986.88,0.0
2026-06-12,24275.4,3168.17,21107.23,0.0
2026-06-15,24254.59,3168.17,21086.42,0.0
2026-06-16,24408.27,3168.17,21240.1,0.0
2026-06-17,24231.23,3397.63,20833.6,0.0
2026-06-18,24203.32,3397.63,20805.69,0.0
2026-06-19,24260.78,3397.63,20863.15,0.0
2026-06-22,24346.63,3397.63,20949.0,0.0
2026-06-23,24345.34,3397.63,20947.71,0.0
2026-06-24,24365.77,3397.63,20968.14,0.0
2026-06-25,24363.66,3397.63,20966.03,0.0
2026-06-26,24362.35,3397.63,20964.72,0.0
2026-06-29,24402.84,3417.77,20985.07,0.0
2026-06-30,24423.5,3417.77,21005.73,0.0
2026-07-01,29319.4,8417.77,20901.63,0.0
2026-07-02,29514.53,6305.43,23209.1,0.0
2026-07-03,29577.61,4834.49,24743.12,0.0
2026-07-06,29474.0,4834.49,24639.51,0.0
2026-07-07,29415.95,4831.0,24584.95,0.0
2026-07-08,29156.63,4831.0,24325.63,0.0
2026-07-09,29006.59,4831.0,24175.59,0.0
2026-07-10,29084.36,4831.0,24253.36,0.0
2026-07-13,29058.32,4831.0,24227.32,0.0
2026-07-14,29139.78,4831.0,24308.78,0.0
2026-07-15,29347.71,4840.02,24507.69,0.0
2026-07-16,29291.16,4840.02,24451.14,0.0
2026-07-17,29336.66,4840.02,24496.64,0.0
2026-07-20,29276.9,5790.68,23486.22,0.0
2026-07-21,29302.44,5790.68,23511.76,0.0
2026-07-22,29387.46,5790.68,23596.78,0.0
2026-07-23,29312.8,5790.68,23522.12,0.0
2026-07-24,29367.48,5790.68,23576.8,0.0
2026-07-27,29266.32,5790.68,23475.64,0.0
2026-07-28,29211.69,5790.68,23421.01,0.0
2026-07-29,28960.58,5790.68,23169.9,0.0
2026-07-30,28860.19,5791.02,23069.17,0.0
2026-07-31,28778.2,5791.02,22987.18,0.0
2026-08-03,33734.61,10791.02,22943.59,0.0
2026-08-04,33706.27,10435.43,23270.84,0.0
2026-08-05,33833.07,10446.63,23386.44,0.0
2026-08-06,33765.04,10474.12,23290.92,0.0
2026-08-07,33907.01,10470.58,23436.43,0.0
2026-08-10,34025.07,10470.58,23554.49,0.0
2026-08-11,33933.31,10470.58,23462.73,0.0
2026-08-12,33894.36,10929.4,22964.96,0.0
2026-08-13,33819.82,10929.4,22890.42,0.0
2026-08-14,34015.18,10945.91,23069.27,0.0
2026-08-17,34112.05,10982.46,23129.59,0.0
2026-08-18,34398.44,10982.46,23415.98,0.0
2026-08-19,34394.98,10985.1,23409.88,0.0
2026-08-20,34426.53,10985.1,23441.43,0.0
2026-08-21,34509.69,10985.1,23524.59,0.0
2026-08-24,34363.04,10985.1,23377.94,0.0
2026-08-25,34466.95,10985.1,23481.85,0.0
2026-08-26,34622.72,10985.1,23637.62,0.0
2026-08-27,34498.98,10985.1,23513.88,0.0
2026-08-28,34555.55,10985.1,23570.45,0.0
2026-08-31,34528.63,10985.1,23543.53,0.0
2026-09-01,34485.1,10985.1,23500.0,0.0
2026-09-02,34334.45,10985.1,23349.35,0.0
2026-09-03,34430.7,11005.33,23425.37,0.0
2026-09-04,34549.35,11005.33,23544.02,0.0
