report_date,con_id,symbol,exchange,currency,asset,quantity,mark_price,value,average_cost,unrealized_pnl,fx_to_base,account_id
2026-09-11,909083,HSBA,LSE,GBP,STK,250.0,15.526,3881.5,17.369,-460.75,1.0,DU0000000
2026-09-11,265598,AAPL,NASDAQ,USD,STK,15.0,332.27,4984.05,326.5053,86.47,0.73916,DU0000000
2026-09-11,92216536,C6L,SGX,SGD,STK,600.0,6.66,3996.0,6.223,262.2,0.584249,DU0000000
2026-09-11,123279007,XDJP,LSEETF,GBP,STK,60.0,32.11,1926.6,32.0067,6.2,1.0,DU0000000
2026-09-11,270617971,IUCS,LSEETF,USD,STK,250.0,10.1,2525.0,9.8339,66.53,0.73916,DU0000000
2026-09-11,517397504,HY9H,FWB,EUR,STK,80.0,23.62,1889.6,25.25,-130.4,0.858295,DU0000000
2026-09-11,208813719,GOOGL,NASDAQ,USD,STK,10.0,195.39,1953.9,181.38,140.1,0.73916,DU0000000
2026-09-11,107113386,META,NASDAQ,USD,STK,3.0,648.03,1944.09,906.9833,-776.86,0.73916,DU0000000
2026-09-11,92214874,ES3,SGX,SGD,STK,400.0,5.886,2354.4,6.3973,-204.52,0.584249,DU0000000
2026-09-11,256718140,3115,SEHK,HKD,STK,150.0,94.76,14214.0,113.8967,-2870.51,0.09434,DU0000000
2026-09-11,3691937,AMZN,NASDAQ,USD,STK,7.0,256.78,1797.46,247.0453,68.14,0.73916,DU0000000
2026-09-11,270639,INTC,NASDAQ,USD,STK,15.0,102.94,1544.1,125.77,-342.45,0.73916,DU0000000
2026-09-11,16520545,SMSN,LSEIOB1,USD,STK,1.0,1364.0,1364.0,1272.5,91.5,0.73916,DU0000000
2026-09-11,152791428,700,SEHK,HKD,STK,20.0,428.4,8568.0,388.1975,804.05,0.09434,DU0000000
2026-09-11,1616420,293,SEHK,HKD,STK,700.0,8.42,5894.0,6.3245,1466.85,0.09434,DU0000000
